official_id,address,official_type
1,"1021 O Street, Suite 5710 Sacramento, CA 95814 ",ASSEMBLY_MEMBER
1,"810 Court Street, Second Floor Jackson, CA 95642 

",ASSEMBLY_MEMBER
1,"930 Executive, Way Suite 201 Redding, CA 96002 
",ASSEMBLY_MEMBER
2,"1021 O Street, Suite 5130 Sacramento, CA 95814",ASSEMBLY_MEMBER
2,"50 D Street, Suite 450 Santa Rosa, CA 95404",ASSEMBLY_MEMBER
2,"200 South School Street, Suite D Ukiah, CA 95482",ASSEMBLY_MEMBER
2,"1036 5th Street, Suite D Eureka, CA 95501 ",ASSEMBLY_MEMBER
3,"1021 O Street, Suite 4730 Sacramento, CA 95814 ",ASSEMBLY_MEMBER
3,"1130 Civic Center Boulevard, 1st Floor Yuba City, CA 95993 
",ASSEMBLY_MEMBER
3,"2060 Talbert Drive, Suite 110 Chico, CA 95928 
",ASSEMBLY_MEMBER
4,"2721 Napa Valley Corporate Drive Napa, CA 94558",ASSEMBLY_MEMBER
4,"600 A Street, Suite D Davis, CA 95616",ASSEMBLY_MEMBER
4,"1021 O Street, Suite 8210 Sacramento, CA 95814",ASSEMBLY_MEMBER
5,"Rocklin Corporate Plaza, 6030 West Oaks Boulevard, Suite 145 Rocklin, CA 95765",ASSEMBLY_MEMBER
5,"1021 O Street, Suite 4530 Sacramento, CA 95814 
",ASSEMBLY_MEMBER
6,"2715 K Street, Suite 100 Sacramento, CA 95816 
",ASSEMBLY_MEMBER
6,"1021 O Street, Suite 5230 Sacramento, CA 95814 

",ASSEMBLY_MEMBER
7,"1021 O Street, Suite 4540 Sacramento, CA 95814 

",ASSEMBLY_MEMBER
7,"13405 Folsom Boulevard, Building 700 Folsom, CA 95630 
",ASSEMBLY_MEMBER
8,"1021 O Street, Suite 4310 Sacramento, CA 95814 
",ASSEMBLY_MEMBER
8,"6245 North Fresno Street, Suite 106 Fresno, CA 93710 
",ASSEMBLY_MEMBER
9,"1021 O Street, Suite 4740 Sacramento, CA 95814 
",ASSEMBLY_MEMBER
9,"578 North Wilma Avenue, Suite B Ripon, CA 95366 
",ASSEMBLY_MEMBER
10,"1021 O Street, Suite 5720 Sacramento, CA 95814 
",ASSEMBLY_MEMBER
10,"9250 Laguna Springs Drive, Suite 220 Elk Grove, CA 95758 

",ASSEMBLY_MEMBER
11,"1021 O Street, Suite 8110 Sacramento, CA 95814 
",ASSEMBLY_MEMBER
11,"One Harbor Center, Suite 270 Suisun City, CA 94585 
",ASSEMBLY_MEMBER
12,"50 D Street, Suite 301 Santa Rosa, CA 95404 
",ASSEMBLY_MEMBER
12,"3501 Civic Center Drive, Room 412 San Rafael, CA 94903 
",ASSEMBLY_MEMBER
12,"11 English Street Petaluma, CA 94952",ASSEMBLY_MEMBER
12,"1021 O Street, Suite 5240 Sacramento, CA 95814 
",ASSEMBLY_MEMBER
13,"1021 O Street, Suite 6340 Sacramento, CA 95814 
",ASSEMBLY_MEMBER
13,"4643 Quail Lakes Drive, Suite 200 Stockton, CA 95207 
",ASSEMBLY_MEMBER
14,"1021 O Street, Suite 8140 Sacramento, CA 95814 
",ASSEMBLY_MEMBER
14,"1515 Clay Street, Suite 2201 Oakland, CA 94612 
",ASSEMBLY_MEMBER
15,"1021 O Street, Suite 6140 Sacramento, CA 95814 
",ASSEMBLY_MEMBER
15,"2151 Salvio Street, Suite R Concord, CA 94520 
",ASSEMBLY_MEMBER
16,"1021 O Street, Suite 5210 Sacramento, CA 95814 
",ASSEMBLY_MEMBER
16,"12677 Alcosta Boulevard, Suite 395 San Ramon, CA 94583",ASSEMBLY_MEMBER
17,"455 Golden Gate Avenue, Suite 14300 San Francisco, CA 94102 
",ASSEMBLY_MEMBER
17,"1021 O Street, Suite 5740 Sacramento, CA 95814 
",ASSEMBLY_MEMBER
18,"1020 N Street, Suite 390 Sacramento, CA 95814 
",ASSEMBLY_MEMBER
18,"1515 Clay Street, Suite 2204 Oakland, CA 94612 
",ASSEMBLY_MEMBER
19,"1021 O Street, Suite 5220 Sacramento, CA 95814 
",ASSEMBLY_MEMBER
19,"455 Golden Gate Avenue, Suite 14600 San Francisco, CA 94102 
",ASSEMBLY_MEMBER
20,"1021 O Street, Suite 5120 Sacramento, CA 95814 
",ASSEMBLY_MEMBER
20,"22320 Foothill Boulevard, Suite 540 Hayward, CA 94541 
",ASSEMBLY_MEMBER
21,"1021 O Street, Suite 4220 Sacramento, CA 95814",ASSEMBLY_MEMBER
21,"411 Borel Avenue, Suite 616 San Mateo, CA 94402 
",ASSEMBLY_MEMBER
30,"1021 O Street, Suite 4120 Sacramento, CA 95814",ASSEMBLY_MEMBER
30,"857 Santa Rosa Street San Luis Obispo, CA 93401 ",ASSEMBLY_MEMBER
30,"99 Pacific Street, Suite 575G Monterey, CA 93940 ",ASSEMBLY_MEMBER
