district_id,counties,map_type,dtype
1,"Alpine, Amador, El Dorado, Lassen, Modoc, Nevada, Placer, Plumas, Shasta, Sierra, Siskiyou",ASSEMBLY,AssemblyDistrict
2,"Del Norte, Humboldt, Mendocino, Sonoma, Trinity",ASSEMBLY,AssemblyDistrict
3,"Butte, Glenn, Placer, Sutter, Tehama, Yuba",ASSEMBLY,AssemblyDistrict
4,"Colusa, Lake, Napa, Sonoma, Yolo",ASSEMBLY,AssemblyDistrict
5,"El Dorado, Placer",ASSEMBLY,AssemblyDistrict
6,Sacramento,ASSEMBLY,AssemblyDistrict
7,Sacramento,ASSEMBLY,AssemblyDistrict
8,"Calaveras, Fresno, Inyo, Madera, Mariposa, Mono, Tuolumne",ASSEMBLY,AssemblyDistrict
9,"Amador, Calaveras, Sacramento, San Joaquin, Stanislaus",ASSEMBLY,AssemblyDistrict
10,Sacramento,ASSEMBLY,AssemblyDistrict
11,"Contra Costa, Sacramento, Solano",ASSEMBLY,AssemblyDistrict
12,"Marin, San Francisco, Sonoma",ASSEMBLY,AssemblyDistrict
13,San Joaquin,ASSEMBLY,AssemblyDistrict
14,"Alameda, Contra Costa",ASSEMBLY,AssemblyDistrict
15,Contra Costa,ASSEMBLY,AssemblyDistrict
16,"Alameda, Contra Costa",ASSEMBLY,AssemblyDistrict
17,San Francisco,ASSEMBLY,AssemblyDistrict
18,"Alameda, San Francisco",ASSEMBLY,AssemblyDistrict
19,"San Francisco, San Mateo",ASSEMBLY,AssemblyDistrict
20,Alameda,ASSEMBLY,AssemblyDistrict
21,San Mateo,ASSEMBLY,AssemblyDistrict
22,"Merced, Stanislaus",ASSEMBLY,AssemblyDistrict
23,"San Mateo, Santa Clara",ASSEMBLY,AssemblyDistrict
24,"Alameda, Santa Clara",ASSEMBLY,AssemblyDistrict
25,Santa Clara,ASSEMBLY,AssemblyDistrict
26,Santa Clara,ASSEMBLY,AssemblyDistrict
27,"Fresno, Madera, Merced",ASSEMBLY,AssemblyDistrict
28,"Santa Clara, Santa Cruz",ASSEMBLY,AssemblyDistrict
29,"Monterey, San Benito, Santa Clara, Santa Cruz",ASSEMBLY,AssemblyDistrict
30,"Monterey, San Luis Obispo, Santa Cruz",ASSEMBLY,AssemblyDistrict
31,Fresno,ASSEMBLY,AssemblyDistrict
32,"Kern, Tulare",ASSEMBLY,AssemblyDistrict
33,"Fresno, Kings, Tulare",ASSEMBLY,AssemblyDistrict
34,"Kern, Los Angeles, San Bernardino",ASSEMBLY,AssemblyDistrict
35,Kern,ASSEMBLY,AssemblyDistrict
36,"Imperial, Riverside, San Bernardino",ASSEMBLY,AssemblyDistrict
37,"San Luis Obispo, Santa Barbara",ASSEMBLY,AssemblyDistrict
38,Ventura,ASSEMBLY,AssemblyDistrict
39,"Los Angeles, San Bernardino",ASSEMBLY,AssemblyDistrict
40,Los Angeles,ASSEMBLY,AssemblyDistrict
41,"Los Angeles, San Bernardino",ASSEMBLY,AssemblyDistrict
42,"Los Angeles, Ventura",ASSEMBLY,AssemblyDistrict
43,Los Angeles,ASSEMBLY,AssemblyDistrict
44,Los Angeles,ASSEMBLY,AssemblyDistrict
45,San Bernardino,ASSEMBLY,AssemblyDistrict
46,"Los Angeles, Ventura",ASSEMBLY,AssemblyDistrict
47,"Riverside, San Bernardino",ASSEMBLY,AssemblyDistrict
48,Los Angeles,ASSEMBLY,AssemblyDistrict
49,Los Angeles,ASSEMBLY,AssemblyDistrict
50,San Bernardino,ASSEMBLY,AssemblyDistrict
51,Los Angeles,ASSEMBLY,AssemblyDistrict
52,Los Angeles,ASSEMBLY,AssemblyDistrict
53,"Los Angeles, San Bernardino",ASSEMBLY,AssemblyDistrict
54,Los Angeles,ASSEMBLY,AssemblyDistrict
55,Los Angeles,ASSEMBLY,AssemblyDistrict
56,Los Angeles,ASSEMBLY,AssemblyDistrict
57,Los Angeles,ASSEMBLY,AssemblyDistrict
58,"Riverside, San Bernardino",ASSEMBLY,AssemblyDistrict
59,"Orange, San Bernardino",ASSEMBLY,AssemblyDistrict
60,Riverside,ASSEMBLY,AssemblyDistrict
61,Los Angeles,ASSEMBLY,AssemblyDistrict
62,Los Angeles,ASSEMBLY,AssemblyDistrict
63,Riverside,ASSEMBLY,AssemblyDistrict
64,"Los Angeles, Orange",ASSEMBLY,AssemblyDistrict
65,Los Angeles,ASSEMBLY,AssemblyDistrict
66,Los Angeles,ASSEMBLY,AssemblyDistrict
67,"Los Angeles, Orange",ASSEMBLY,AssemblyDistrict
68,Orange,ASSEMBLY,AssemblyDistrict
69,Los Angeles,ASSEMBLY,AssemblyDistrict
70,Orange,ASSEMBLY,AssemblyDistrict
71,"Orange, Riverside",ASSEMBLY,AssemblyDistrict
72,Orange,ASSEMBLY,AssemblyDistrict
73,Orange,ASSEMBLY,AssemblyDistrict
74,"Orange, San Diego",ASSEMBLY,AssemblyDistrict
75,San Diego,ASSEMBLY,AssemblyDistrict
76,San Diego,ASSEMBLY,AssemblyDistrict
77,San Diego,ASSEMBLY,AssemblyDistrict
78,San Diego,ASSEMBLY,AssemblyDistrict
79,San Diego,ASSEMBLY,AssemblyDistrict
80,San Diego,ASSEMBLY,AssemblyDistrict
