name,district_id,party,committees,salary,official_type
Vacant,1,Vacant,,100,CONGRESSMAN
Jared Huffman,2,DEMOCRAT,,100,CONGRESSMAN
Kevin Kiley,3,REPUBLICAN,,100,CONGRESSMAN
Mike Thompson,4,DEMOCRAT,,100,CONGRESSMAN
Tom McClintock,5,REPUBLICAN,,100,CONGRESSMAN
Ami Bera,6,DEMOCRAT,,100,CONGRESSMAN
Doris O. Matsui,7,DEMOCRAT,,100,CONGRESSMAN
John Garamendi,8,DEMOCRAT,,100,CONGRESSMAN
Josh Harder,9,DEMOCRAT,,100,CONGRESSMAN
Mark DeSaulnier,10,DEMOCRAT,,100,CONGRESSMAN
Nancy Pelosi,11,DEMOCRAT,,100,CONGRESSMAN
Lateefah Simon,12,DEMOCRAT,,100,CONGRESSMAN
Adam Gray,13,DEMOCRAT,,100,CONGRESSMAN
Vacant,14,Vacant,,100,CONGRESSMAN
Kevin Mullin,15,DEMOCRAT,,100,CONGRESSMAN
Sam Liccardo,16,DEMOCRAT,,100,CONGRESSMAN
Ro Khanna,17,DEMOCRAT,,100,CONGRESSMAN
Zoe Lofgren,18,DEMOCRAT,,100,CONGRESSMAN
Jimmy Panetta,19,DEMOCRAT,,100,CONGRESSMAN
Vince Fong,20,REPUBLICAN,,100,CONGRESSMAN
Jim Costa,21,DEMOCRAT,,100,CONGRESSMAN
David G. Valadao,22,REPUBLICAN,,100,CONGRESSMAN
Jay Obernolte,23,REPUBLICAN,,100,CONGRESSMAN
Salud O. Carbajal,24,DEMOCRAT,,100,CONGRESSMAN
Raul Ruiz,25,DEMOCRAT,,100,CONGRESSMAN
Julia Brownley,26,DEMOCRAT,,100,CONGRESSMAN
George Whitesides,27,DEMOCRAT,,100,CONGRESSMAN
Judy Chu,28,DEMOCRAT,,100,CONGRESSMAN
Luz Rivas,29,DEMOCRAT,,100,CONGRESSMAN
Laura Friedman,30,DEMOCRAT,,100,CONGRESSMAN
Gil Cisneros,31,DEMOCRAT,,100,CONGRESSMAN
Brad Sherman,32,DEMOCRAT,,100,CONGRESSMAN
Pete Aguilar,33,DEMOCRAT,,100,CONGRESSMAN
Jimmy Gomez,34,DEMOCRAT,,100,CONGRESSMAN
Norma J. Torres,35,DEMOCRAT,,100,CONGRESSMAN
Ted Lieu,36,DEMOCRAT,,100,CONGRESSMAN
Sydney Kamlager-Dove,37,DEMOCRAT,,100,CONGRESSMAN
Linda T. Sánchez,38,DEMOCRAT,,100,CONGRESSMAN
Mark Takano,39,DEMOCRAT,,100,CONGRESSMAN
Young Kim,40,REPUBLICAN,,100,CONGRESSMAN
Ken Calvert,41,REPUBLICAN,,100,CONGRESSMAN
Robert Garcia,42,DEMOCRAT,,100,CONGRESSMAN
Maxine Waters,43,DEMOCRAT,,100,CONGRESSMAN
Nanette Diaz Barragán,44,DEMOCRAT,,100,CONGRESSMAN
Derek Tran,45,DEMOCRAT,,100,CONGRESSMAN
Lou Correa,46,DEMOCRAT,,100,CONGRESSMAN
Dave Min,47,DEMOCRAT,,100,CONGRESSMAN
Darrell Issa,48,REPUBLICAN,,100,CONGRESSMAN
Mike Levin,49,DEMOCRAT,,100,CONGRESSMAN
Scott Peters,50,DEMOCRAT,,100,CONGRESSMAN
Sara Jacobs,51,DEMOCRAT,,100,CONGRESSMAN
Juan Vargas,52,DEMOCRAT,,100,CONGRESSMAN
