district_id,counties,map_type,dtype
1,"Butte, Colusa, Glenn, Lassen, Modoc, Nevada, Placer, Plumas, Shasta, Sierra, Siskiyou, Sutter, Tehama, Yuba",SENATE,SenateDistrict
2,"Del Norte, Humboldt, Lake, Marin, Mendocino, San Francisco, Sonoma, Trinity",SENATE,SenateDistrict
3,"Contra Costa, Napa, Sacramento, Solano, Sonoma, Yolo",SENATE,SenateDistrict
4,"Alpine, Amador, Calaveras, El Dorado, Inyo, Madera, Mariposa, Merced, Mono, Nevada, Placer, Stanislaus, Tuolumne",SENATE,SenateDistrict
5,"Alameda, San Joaquin",SENATE,SenateDistrict
6,"Placer, Sacramento",SENATE,SenateDistrict
7,"Alameda, Contra Costa, San Francisco",SENATE,SenateDistrict
8,Sacramento,SENATE,SenateDistrict
9,"Alameda, Contra Costa",SENATE,SenateDistrict
10,"Alameda, Santa Clara",SENATE,SenateDistrict
11,"San Francisco, San Mateo",SENATE,SenateDistrict
12,"Fresno, Kern, Tulare",SENATE,SenateDistrict
13,"San Mateo, Santa Clara",SENATE,SenateDistrict
14,"Fresno, Madera, Merced, Tulare",SENATE,SenateDistrict
15,Santa Clara,SENATE,SenateDistrict
16,"Fresno, Kern, Kings, Tulare",SENATE,SenateDistrict
17,"Monterey, San Benito, San Luis Obispo, Santa Cruz",SENATE,SenateDistrict
18,"Imperial, Riverside, San Bernardino, San Diego",SENATE,SenateDistrict
19,"Riverside, San Bernardino",SENATE,SenateDistrict
20,Los Angeles,SENATE,SenateDistrict
21,"San Luis Obispo, Santa Barbara, Ventura",SENATE,SenateDistrict
22,"Los Angeles, San Bernardino",SENATE,SenateDistrict
23,"Los Angeles, San Bernardino",SENATE,SenateDistrict
24,Los Angeles,SENATE,SenateDistrict
25,"Los Angeles, San Bernardino",SENATE,SenateDistrict
26,Los Angeles,SENATE,SenateDistrict
27,"Los Angeles, Ventura",SENATE,SenateDistrict
28,Los Angeles,SENATE,SenateDistrict
29,San Bernardino,SENATE,SenateDistrict
30,"Los Angeles, Orange",SENATE,SenateDistrict
31,"Riverside, San Bernardino",SENATE,SenateDistrict
32,"Orange, Riverside, San Bernardino, San Diego",SENATE,SenateDistrict
33,Los Angeles,SENATE,SenateDistrict
34,"Los Angeles, Orange",SENATE,SenateDistrict
35,Los Angeles,SENATE,SenateDistrict
36,"Los Angeles, Orange",SENATE,SenateDistrict
37,Orange,SENATE,SenateDistrict
38,"Orange, San Diego",SENATE,SenateDistrict
39,San Diego,SENATE,SenateDistrict
40,San Diego,SENATE,SenateDistrict
