name,district_id,party,committees,salary,official_type
Megan Dahle,1,REPUBLICAN,,150600,SENATOR
Mike McGuire,2,DEMOCRAT,,150600,SENATOR
Christopher Cabaldon,3,DEMOCRAT,,150600,SENATOR
Marie Alvarado-Gil,4,REPUBLICAN,,150600,SENATOR
Jerry McNerney,5,DEMOCRAT,,150600,SENATOR
Roger Niello,6,REPUBLICAN,,150600,SENATOR
Jesse Arreguín,7,DEMOCRAT,,150600,SENATOR
Angelique Ashby,8,DEMOCRAT,,150600,SENATOR
Tim Grayson,9,DEMOCRAT,,150600,SENATOR
Aisha Wahab,10,DEMOCRAT,,150600,SENATOR
Scott Wiener,11,DEMOCRAT,,150600,SENATOR
Shannon Grove,12,REPUBLICAN,,150600,SENATOR
Josh Becker,13,DEMOCRAT,,150600,SENATOR
Anna Caballero,14,DEMOCRAT,,150600,SENATOR
Dave Cortese,15,DEMOCRAT,,150600,SENATOR
Melissa Hurtado,16,DEMOCRAT,,150600,SENATOR
John Laird,17,DEMOCRAT,,150600,SENATOR
Steve Padilla,18,DEMOCRAT,,150600,SENATOR
Rosilicie Ochoa Bogh,19,REPUBLICAN,,150600,SENATOR
Caroline Menjivar,20,DEMOCRAT,,150600,SENATOR
Monique Limón,21,DEMOCRAT,,150600,SENATOR
Susan Rubio,22,DEMOCRAT,,150600,SENATOR
Suzette Martinez Valladares,23,REPUBLICAN,,150600,SENATOR
Benjamin Allen,24,DEMOCRAT,,150600,SENATOR
Sasha Renée Pérez,25,DEMOCRAT,,150600,SENATOR
Maria Elena Durazo,26,DEMOCRAT,,150600,SENATOR
Henry Stern,27,DEMOCRAT,,150600,SENATOR
Lola Smallwood-Cuevas,28,DEMOCRAT,,150600,SENATOR
Eloise Gómez Reyes,29,DEMOCRAT,,150600,SENATOR
Bob Archuleta,30,DEMOCRAT,,150600,SENATOR
Sabrina Cervantes,31,DEMOCRAT,,150600,SENATOR
Kelly Seyarto,32,REPUBLICAN,,150600,SENATOR
Lena Gonzalez,33,DEMOCRAT,,150600,SENATOR
Thomas Umberg,34,DEMOCRAT,,150600,SENATOR
Laura Richardson,35,DEMOCRAT,,150600,SENATOR
Tony Strickland,36,REPUBLICAN,,150600,SENATOR
"Steven ""Steve"" Choi",37,REPUBLICAN,,150600,SENATOR
Catherine S. Blakespear,38,DEMOCRAT,,150600,SENATOR
Akilah Weber Pierson,39,DEMOCRAT,,150600,SENATOR
Brian W. Jones,40,REPUBLICAN,,150600,SENATOR
